,review,sentiment
0,Brimming with energy and spirit.,positive
1,"If it's not as emotionally haunting as Au Hasard Balthazar or Mouchette, it remains a powerful, compelling portrait of discipline, and humanity.",positive
2,"It does finally achieve its apparent aim: to tempt Miscavige's minions a little further towards the light, the better for us to witness their words and deeds, and thereby grasp the peculiarity of this particular credo.",positive
3,The film is tonally assured enough to render a literal reading somewhat unnecessary since it so purely channels the joy that drives its main character.,positive
4,The proverbial sun has set with enough grace to make us all feel a little apologetic for the doubt we all had on the character who was a champ well before he was ever a champion.,positive
5,"If Trainwreck frosts its cake with a you-have-to-laugh-or-you-would-be-crying-all-the-time icing, you can still taste that sadness in nearly every bite.",positive
6,Few performances are hardy enough both to blossom in the dark intimacy of live theater and bloom under the glaring eye of a movie camera. Ghostlight is not the exception.,negative
7,Resident Evil Vendetta takes the best aspects of the video game high points and makes an amazingly intense and action-packed thrill ride.,positive
8,"A star is born, albeit at the ripe age of 44, as the writer, director, producer and actress Radha Blank seizes her moment, often hilariously so, as the deadpan centre of this whip-smart comedy.",positive
9,"Anderson may yet be the heir to the screwball-comedy throne, but his creative blood needs a fresh infusion.",negative
10,"The sort of quirky, insiderish L.A. dramedy that tries but fails to make us care about its troubled young characters who are, you guessed it, looking for happiness.",negative
11,"If the 3D is passable and there are some moments of tension, Sanctum has big problems.",positive
12,Fans of cinematic dread should seek it out immediately.,positive
13,"Set to the operatic background score of an Old Spice commercial, all the emotional manipulation gets in the way of inspiration.",negative
14,"By messing with the geography of the apartment and the identities of its characters, The Father makes us see and digest and experience the frighteningly unsystematic loss of mental control.",positive
15,"The contrast between their menacingly macho appearance (due to their muscles and military gear) and their tenderness is endlessly endearing, and the film leans into this for our greatest delight.",positive
16,"Cheesy special effects, under drawn characters, simplistic writing (by a committee of scribes) and music video direction will likely draw the attention-deficit crowd",negative
17,"Even if the film itself is relatively conventional, its exposure of a squalid city's most benighted neighborhood and its introduction of hope into nearly hopeless lives give it strong human interest value.",positive
18,"Proof is a stirring motion picture that challenges our views on a great many things about life, some of which we take for granted.",positive
19,"Aside from a few mild swipes at the commercial film industry and New York pseudo-intellectual circles, the film is rather toothless.",negative
20,"The movie offers nothing new to the zom-com sub-subgenre, but has just enough solid laughs to warrant a watch.",positive
21,"Richard Donner directs more for speed than mood, but there are a few good shocks.",positive
22,"Bull Durham, the new baseball movie starring Kevin Costner and Susan Sarandon, eases up on you, lazy as a cloud, and carries you off in a mood of exquisite delight.",positive
23,Stewart captures the essence of being in an oppressive environment.,positive
24,"Smarter than Tarantino, cleverer than Carnahan -- literary minded and violent and wickedly funny.",positive
25,One of the best thrillers to come along in a while.,positive
26,"Like Bellocchio's draggy, overrated Vincere, this movie wants us to believe in its depth, while mostly just skimming the surface.",negative
27,"Emotional, occasionally funny, and narratively unpredictable... I doubt any other blockbuster will manage to surpass Black Panther this year. [Full review in Spanish]",positive
28,"The movie offers a terrific playground for Mendes and Hawke to mess around in as these gleefully flawed, cartoonish and yet ultimately dimensional characters.",positive
29,"Turning his camera on works of art and the people who steer the distinguished London complex, the grand old man of hands-off documentaries studies paintings and bears witness to staff meetings, curatorial discussions and gallery talks.",positive
30,"The intention of both the writer, Shaun Grants, and director, Justin Kurzel, was to shed a light on the whys and wherefores of a person like Nitram. I don’t think they did.",negative
31,"Almost completely uninvolving, as well as being impenetrable.",negative
32,"An intriguing premise and bizarre opening show potential, but the film chooses the least interesting direction possible when it veers off on its road trip.",negative
33,"Wow, this movie is totally insane.",positive
34,"Lovely, well-acted with great set pieces, but edited into something choppy and less satisfying than one would hope",positive
35,"Even if it answers questions about Cruella de Vil that nobody ever really had, this runway is all slay, all day. This is the glam slam villain jam we didn't know we needed.",positive
36,Douglas is a maddeningly inconsistent stand-up special...,negative
37,"Truly, Sparks' Caucasian dreariness is a a force from which nothing, not even passably interesting directorial techniques can escape. A white hole, if you will.",negative
38,you'll be wishing they'd just call it quits,negative
39,"Pictorially and musically, the film is distinguished, and if the atmospheric continuity tends at one stage to become wearisome, the humor and philosophy of [the characters] amply compensate.",positive
40,Brunker and his co-writers find a way to deliver a multi-layered story that can grab toddlers while keeping older viewers entertained and not groaning at some propagandized messaging.,positive
41,"Blake Edwards' outrageous S.O.B. may never be held in the same regard as Sunset Boulevard or The Player, but as a searing satire about the underbelly of the Hollywood lifestyle, it still ranks as one of the best.",positive
42,A magnificently detailed portrait of Boston body politic with Mayor Marty Walsh as leading man.,positive
43,"An old-fashioned, white-knuckle adventure with the excellent Bridges adding another great characterization to his increasingly impressive resume.",positive
44,Perhaps this film does adhere admirably to the source material&#44; but if so&#44; it is at the expense of almost anything recognizable from the classic film&#46; This is Fletch&#44; without the edge&#46;,negative
45,"Kingsman is a frenetic, witty blast, and just the kind of fresh take an increasingly overly serious, borderline stale genre needs.",positive
46,"We've seen and heard variations on these characters several times before. Somehow, though, it seems to work.",positive
47,A botched supernatural thriller with only some fiendishly clever death schemes to commend it.,negative
48,Steep is a visually exhilarating sports documentary that is also more than a little exasperating.,positive
49,"Frankly, it could have used a touch more disrepute.",negative
50,"It's hilarious, though probably not to anyone who hasn't already been watching it on television.",positive
51,"As far as purely aesthetic experiences go, I doubt anything I'll see anywhere this year will beat Jean-Luc Godard's Goodbye To Language.",positive
52,"The movie is a polished muddle, fitfully amusing but with no spine.",negative
53,"When Woody's writing is solid, his direction is always at its strongest and steadiest, and Melinda and Melinda is sound indeed.",positive
54,"I am a fan of The Muppets and I'm glad to see them making a comeback. Maybe if this movie is a hit, they'll make a sequel where they'll actually get to be the stars of their own film.",negative
55,...another soulful story about adolescents careering messily into first loves.,positive
56,"Director Tony Scott is smart enough to focus most of the movie where it should be, on Travolta and Washington.",positive
57,None of Gordon Ramsay's kitchen nightmares are a patch on this.,positive
